# Version 1.00
#
freq[Hz]	re:Trc3_S11	im:Trc3_S11	
3.274000000000000E+009	-1.558391842991114E-002	-4.648762289434671E-003	
3.308500000000000E+009	-2.538424218073487E-003	8.049207739531994E-003	
3.343000000000000E+009	-6.780822295695543E-003	-8.166996762156487E-003	
3.377500000000000E+009	-7.524379994720221E-003	-1.055539213120937E-002	
3.412000000000000E+009	-6.633189041167498E-003	-1.007389370352030E-002	
3.446500000000000E+009	-3.656705468893051E-002	4.877985920757055E-003	
3.481000000000000E+009	-7.508262991905212E-003	2.225872501730919E-002	
3.515500000000000E+009	-1.463094819337130E-002	1.508211344480515E-002	
3.550000000000000E+009	-3.463414730504155E-003	1.867041736841202E-002	
3.584500000000000E+009	5.834302399307489E-003	1.221555517986417E-003	
3.619000000000000E+009	-1.184458658099175E-002	-1.634321361780167E-002	
3.653500000000000E+009	-1.871615462005138E-002	1.068549789488316E-002	
3.688000000000000E+009	-5.386745091527700E-003	4.169500432908535E-003	
3.722500000000000E+009	-2.431696653366089E-002	1.435668300837278E-002	
3.757000000000000E+009	-1.793623343110085E-002	-6.671831943094730E-005	
3.791500000000000E+009	-2.986250258982182E-002	2.560976136010140E-004	
3.826000000000000E+009	1.291750930249691E-002	-1.074543222784996E-003	
3.860500000000000E+009	-1.451915688812733E-002	-1.715427078306675E-002	
3.895000000000000E+009	-9.354953654110432E-003	4.538772162050009E-003	
3.929500000000000E+009	-1.686289720237255E-002	-7.614861242473126E-004	
3.964000000000000E+009	-1.431968249380589E-002	1.240053493529558E-002	
3.998500000000000E+009	-6.789219565689564E-003	8.253235369920731E-003	
4.033000000000000E+009	-2.376637235283852E-002	2.827050164341927E-002	
4.067500000000000E+009	-3.537317039445043E-003	4.532237071543932E-003	
4.102000000000000E+009	-6.727206055074930E-003	1.568214036524296E-002	
4.136500000000000E+009	-1.750861993059516E-003	-4.475791472941637E-003	
4.171000000000000E+009	-1.823780592530966E-003	6.710594985634089E-003	
4.205500000000000E+009	-1.731754653155804E-002	-9.526095353066921E-003	
4.240000000000000E+009	-3.759253770112991E-002	1.142904255539179E-002	
4.274500000000000E+009	-1.675152964890003E-002	6.311208941042423E-003	
4.309000000000000E+009	-3.053454868495464E-002	2.196399867534638E-002	
4.343500000000000E+009	-1.469652820378542E-002	1.889129728078842E-002	
4.378000000000000E+009	-2.530174702405930E-002	1.086203474551439E-002	
4.412500000000000E+009	-9.734073653817177E-003	8.564834482967854E-003	
4.447000000000000E+009	-2.818044833838940E-002	-1.132795121520758E-002	
4.481500000000000E+009	-5.806378554552794E-003	1.992435194551945E-002	
4.516000000000000E+009	-2.845374681055546E-002	1.137970015406609E-002	
4.550500000000000E+009	-2.349669486284256E-002	1.409690827131271E-002	
4.585000000000000E+009	-1.590226404368877E-002	4.230321198701859E-002	
4.619500000000000E+009	-2.605592086911202E-002	4.527905490249395E-003	
4.654000000000000E+009	-1.338931499049068E-003	1.178413815796375E-002	
4.688500000000000E+009	-6.845348048955202E-003	1.374155003577471E-002	
4.723000000000000E+009	-6.962096318602562E-003	2.507059648633003E-002	
4.757500000000000E+009	1.405483484268189E-002	1.398609578609467E-002	
4.792000000000000E+009	-1.089647877961397E-002	-1.700055319815874E-003	
4.826500000000000E+009	-2.287782914936543E-002	1.733495853841305E-002	
4.861000000000000E+009	-2.722551580518484E-003	5.117485299706459E-003	
4.895500000000000E+009	-1.847819611430168E-002	2.239368623122573E-003	
4.930000000000000E+009	-8.935072459280491E-003	2.113779075443745E-002	
4.964500000000000E+009	-1.149729453027248E-002	-2.725929021835327E-003	
4.999000000000000E+009	-1.178202964365482E-002	-1.824901439249516E-002	
5.033500000000000E+009	-1.327781844884157E-002	2.250145189464092E-002	
5.068000000000000E+009	-1.992040313780308E-002	1.990502933040261E-003	
5.102500000000000E+009	-5.661195144057274E-002	2.158326841890812E-002	
5.137000000000000E+009	6.885374314151704E-004	4.981439560651779E-003	
5.171500000000000E+009	-2.230185642838478E-002	1.564898714423180E-002	
5.206000000000000E+009	-1.130857225507498E-002	1.883054897189140E-002	
5.240500000000000E+009	-1.266741193830967E-002	-9.363829740323126E-004	
5.275000000000000E+009	-2.580960094928742E-002	1.579655148088932E-002	
5.309500000000000E+009	-1.716119982302189E-002	7.364000193774700E-003	
5.344000000000000E+009	-2.149264328181744E-002	1.293244119733572E-002	
5.378500000000000E+009	-1.438808720558882E-002	4.781306907534599E-002	
5.413000000000000E+009	-3.819834440946579E-003	4.442258924245834E-002	
5.447500000000000E+009	1.238039694726467E-003	2.291649580001831E-002	
5.482000000000000E+009	1.219384279102087E-002	1.842102780938149E-002	
5.516500000000000E+009	-1.609530672430992E-002	-2.701490651816130E-003	
5.551000000000000E+009	-7.174015976488590E-003	3.101088479161263E-002	
5.585500000000000E+009	-2.214693091809750E-002	-1.717325998470187E-003	
5.620000000000000E+009	-3.276979923248291E-002	4.816292226314545E-002	
5.654500000000000E+009	9.066129103302956E-003	4.493103548884392E-002	
5.689000000000000E+009	-4.612822085618973E-003	3.846423700451851E-002	
5.723500000000000E+009	6.971866823732853E-003	1.291210390627384E-002	
5.758000000000000E+009	-1.868228800594807E-002	8.015541359782219E-003	
5.792500000000000E+009	-2.182812662795186E-003	1.221270766109228E-002	
5.827000000000000E+009	-2.367021329700947E-002	-5.151454359292984E-003	
5.861500000000000E+009	-3.325855731964111E-002	1.511163357645273E-002	
5.896000000000000E+009	-2.415080554783344E-002	2.238503843545914E-002	
5.930500000000000E+009	-1.487436983734369E-002	2.186976000666618E-002	
5.965000000000000E+009	-1.289846934378147E-002	3.001400455832481E-002	
5.999500000000000E+009	2.575051598250866E-002	8.229329250752926E-003	
6.034000000000000E+009	-8.450900204479694E-003	4.466853104531765E-003	
6.068500000000000E+009	-5.531011614948511E-003	1.333564578089863E-004	
6.103000000000000E+009	-1.334293559193611E-002	2.277358248829842E-002	
6.137500000000000E+009	-2.261160314083099E-002	4.088405147194862E-002	
6.172000000000000E+009	-3.390958532691002E-002	3.835301473736763E-002	
6.206500000000000E+009	6.298470776528120E-003	4.635421186685562E-002	
6.241000000000000E+009	5.967341829091311E-003	1.318630389869213E-002	
6.275500000000000E+009	-1.267644856125116E-002	4.707118123769760E-002	
6.310000000000000E+009	1.523448619991541E-002	1.998054981231690E-002	
6.344500000000000E+009	4.306108690798283E-003	-5.393218249082565E-003	
6.379000000000000E+009	1.140422467142344E-002	-8.907663635909557E-003	
6.413500000000000E+009	-3.330398723483086E-002	4.170872271060944E-002	
6.448000000000000E+009	-2.982949838042259E-002	9.845469892024994E-002	
6.482500000000000E+009	-1.631298661231995E-002	3.329659625887871E-002	
6.517000000000000E+009	-4.416347946971655E-003	-5.168179050087929E-003	
6.551500000000000E+009	-3.031690418720245E-002	4.159446433186531E-002	
6.586000000000000E+009	-2.459156513214111E-002	2.923687733709812E-002	
6.620500000000000E+009	-5.153744481503964E-003	2.054874971508980E-002	
6.655000000000000E+009	1.237190514802933E-002	2.607251144945622E-002	
6.689500000000000E+009	-7.275275420397520E-003	1.966631226241589E-002	
6.724000000000000E+009	-2.192798629403114E-002	2.718377672135830E-002	
6.758500000000000E+009	-2.768024429678917E-002	4.517881199717522E-002	
6.793000000000000E+009	7.727909833192825E-004	5.347185954451561E-002	
6.827500000000000E+009	-1.379251480102539E-002	3.099143691360951E-002	
6.862000000000000E+009	-9.356289170682430E-003	1.869265176355839E-002	
6.896500000000000E+009	-2.580202743411064E-002	-8.659779094159603E-003	
6.931000000000000E+009	-3.339695930480957E-002	2.901707030832768E-002	
6.965500000000000E+009	-4.373337142169476E-003	1.475193258374929E-002	
7.000000000000000E+009	-1.798778958618641E-002	4.583602771162987E-002	
