# Version 1.00
#
freq[Hz]	mag:Trc3_S11	ang:Trc3_S11	
6.379000000000000E+009	1.462343487314461E-002	-3.768918424312619E+001	
6.413500000000000E+009	5.346056580670353E-002	1.285654020453647E+002	
6.448000000000000E+009	1.031125100303316E-001	1.068642923775296E+002	
6.482500000000000E+009	3.704326737543644E-002	1.162351331831645E+002	
6.517000000000000E+009	6.769661414297787E-003	-1.294172187758756E+002	
6.551500000000000E+009	5.143840305399528E-002	1.261608561169696E+002	
6.586000000000000E+009	3.818276215557155E-002	1.305534264411687E+002	
6.620500000000000E+009	2.106217957938655E-002	1.046958472956549E+002	
6.655000000000000E+009	2.869286810161037E-002	6.479091365174564E+001	
6.689500000000000E+009	2.119933969827250E-002	1.099134185800196E+002	
6.724000000000000E+009	3.484506796071837E-002	1.290097290796321E+002	
6.758500000000000E+009	5.308620418208521E-002	1.215147364238620E+002	
6.793000000000000E+009	5.374233296362646E-002	8.924253804622639E+001	
6.827500000000000E+009	3.382840820156945E-002	1.137422578569669E+002	
6.862000000000000E+009	2.087226667036187E-002	1.163483867753650E+002	
6.896500000000000E+009	2.722579910710666E-002	-1.613657664767516E+002	
6.931000000000000E+009	4.421007165632626E-002	1.391598568936207E+002	
6.965500000000000E+009	1.556009129268235E-002	1.073065250528853E+002	
7.000000000000000E+009	4.920558892315839E-002	1.115036738284508E+002	
